density_fraction,thickness_m,axis_error_deg,diameter_cm,error_cm,geometry_released,failures
1.0,0.06,-6,20.060729466011303,0.06072946601130269,True,[]
1.0,0.06,-3,20.022593068852853,0.022593068852852838,True,[]
1.0,0.06,0,20.00369844002492,0.0036984400249195915,True,[]
1.0,0.06,3,20.012787935494686,0.012787935494685598,True,[]
1.0,0.06,6,20.03925132240181,0.039251322401810285,True,[]
1.0,0.1,-6,20.065742934928327,0.06574293492832695,True,[]
1.0,0.1,-3,20.011861725994528,0.011861725994528172,True,[]
1.0,0.1,0,20.000345936460146,0.00034593646014613455,True,[]
1.0,0.1,3,20.02349911566342,0.023499115663419445,True,[]
1.0,0.1,6,20.044552182865417,0.04455218286541651,True,[]
1.0,0.14,-6,20.059261350353136,0.059261350353136066,True,[]
1.0,0.14,-3,20.01008882846098,0.010088828460979471,True,[]
1.0,0.14,0,19.991688949730165,-0.008311050269835363,True,[]
1.0,0.14,3,20.00797176881244,0.007971768812438995,True,[]
1.0,0.14,6,20.06457459418515,0.06457459418514944,True,[]
0.5,0.06,-6,20.05233699592925,0.052336995929248786,True,[]
0.5,0.06,-3,20.01875646948375,0.018756469483751204,True,[]
0.5,0.06,0,20.00227053182871,0.002270531828710176,True,[]
0.5,0.06,3,20.00697951211512,0.0069795121151194905,True,[]
0.5,0.06,6,20.026242268749233,0.026242268749232522,True,[]
0.5,0.1,-6,20.06861790095689,0.06861790095689102,True,[]
0.5,0.1,-3,20.02173765771671,0.021737657716709435,True,[]
0.5,0.1,0,19.994010053491586,-0.005989946508414334,True,[]
0.5,0.1,3,20.007835207439754,0.0078352074397543,True,[]
0.5,0.1,6,20.042822866056085,0.04282286605608476,True,[]
0.5,0.14,-6,20.050463169596675,0.05046316959667507,True,[]
0.5,0.14,-3,20.012627536350195,0.012627536350194646,True,[]
0.5,0.14,0,19.995830414699896,-0.0041695853001044725,True,[]
0.5,0.14,3,20.0014569784925,0.0014569784924987061,True,[]
0.5,0.14,6,20.042294094791444,0.04229409479144408,True,[]
0.25,0.06,-6,20.066950569836482,0.06695056983648229,True,[]
0.25,0.06,-3,20.02647216683647,0.026472166836470024,True,[]
0.25,0.06,0,20.00383157248864,0.003831572488639523,True,[]
0.25,0.06,3,20.007839210281496,0.007839210281495923,True,[]
0.25,0.06,6,20.03175322315504,0.03175322315503948,True,[]
0.25,0.1,-6,20.063707487747635,0.06370748774763513,True,[]
0.25,0.1,-3,20.022929347547404,0.022929347547403722,True,[]
0.25,0.1,0,19.995817691326977,-0.004182308673023272,True,[]
0.25,0.1,3,20.01499628778719,0.01499628778719142,True,[]
0.25,0.1,6,20.051613766928753,0.05161376692875308,True,[]
0.25,0.14,-6,20.053009447935917,0.05300944793591711,True,[]
0.25,0.14,-3,20.001972779458132,0.0019727794581321234,True,[]
0.25,0.14,0,19.996013114634955,-0.003986885365044657,True,[]
0.25,0.14,3,20.007525020626375,0.007525020626374612,True,[]
0.25,0.14,6,20.061515254291034,0.06151525429103444,True,[]
0.1,0.06,-6,20.09829804172285,0.09829804172284895,True,[]
0.1,0.06,-3,20.047661160331863,0.04766116033186307,True,[]
0.1,0.06,0,20.025736749690786,0.025736749690786098,True,[]
0.1,0.06,3,20.03139582506468,0.031395825064681304,True,[]
0.1,0.06,6,20.068181669006357,0.06818166900635703,True,[]
0.1,0.1,-6,20.100444367037866,0.1004443670378663,True,[]
0.1,0.1,-3,20.042733259476066,0.042733259476065655,True,[]
0.1,0.1,0,20.00334850310034,0.0033485031003408494,True,[]
0.1,0.1,3,20.010075991520086,0.010075991520086092,True,[]
0.1,0.1,6,20.045088255027462,0.045088255027462054,True,[]
0.1,0.14,-6,20.068827052605254,0.06882705260525412,True,[]
0.1,0.14,-3,20.024132129374767,0.02413212937476672,True,[]
0.1,0.14,0,19.998988686811355,-0.0010113131886448912,True,[]
0.1,0.14,3,20.006270705561537,0.006270705561536971,True,[]
0.1,0.14,6,20.0591920917836,0.05919209178360063,True,[]
